"pid","did","lptime","pborough","cnt"
41,42,17,"""Manhattan""",33
41,42,18,"""Manhattan""",23
41,42,19,"""Manhattan""",15
41,42,20,"""Manhattan""",11
41,43,7,"""Manhattan""",15
41,43,14,"""Manhattan""",12
41,43,15,"""Manhattan""",15
41,74,7,"""Manhattan""",12
41,74,8,"""Manhattan""",22
41,74,9,"""Manhattan""",15
41,74,10,"""Manhattan""",13
41,74,11,"""Manhattan""",20
41,74,12,"""Manhattan""",13
41,74,13,"""Manhattan""",19
41,74,14,"""Manhattan""",20
41,74,15,"""Manhattan""",23
41,74,16,"""Manhattan""",29
41,74,17,"""Manhattan""",26
41,74,18,"""Manhattan""",12
41,74,21,"""Manhattan""",13
41,75,7,"""Manhattan""",28
41,75,8,"""Manhattan""",21
41,75,10,"""Manhattan""",16
41,75,12,"""Manhattan""",17
41,75,13,"""Manhattan""",18
41,75,14,"""Manhattan""",19
41,75,15,"""Manhattan""",23
41,75,16,"""Manhattan""",13
41,75,17,"""Manhattan""",17
41,75,18,"""Manhattan""",17
41,75,19,"""Manhattan""",17
41,151,8,"""Manhattan""",18
41,151,10,"""Manhattan""",15
41,151,12,"""Manhattan""",13
41,151,13,"""Manhattan""",14
41,151,14,"""Manhattan""",19
41,151,15,"""Manhattan""",19
41,151,16,"""Manhattan""",14
41,151,18,"""Manhattan""",20
41,166,7,"""Manhattan""",23
41,166,8,"""Manhattan""",24
41,166,9,"""Manhattan""",16
41,166,11,"""Manhattan""",12
41,166,13,"""Manhattan""",16
41,166,14,"""Manhattan""",21
41,166,15,"""Manhattan""",15
41,166,16,"""Manhattan""",17
41,166,17,"""Manhattan""",14
41,230,7,"""Manhattan""",11
41,236,7,"""Manhattan""",14
41,236,8,"""Manhattan""",16
41,236,9,"""Manhattan""",16
41,236,10,"""Manhattan""",12
41,236,14,"""Manhattan""",15
41,236,16,"""Manhattan""",12
41,236,17,"""Manhattan""",14
41,238,7,"""Manhattan""",21
41,238,8,"""Manhattan""",15
41,238,10,"""Manhattan""",12
41,238,11,"""Manhattan""",14
41,238,12,"""Manhattan""",13
41,238,13,"""Manhattan""",13
41,238,15,"""Manhattan""",11
41,238,16,"""Manhattan""",13
41,238,17,"""Manhattan""",13
41,238,18,"""Manhattan""",12
41,239,7,"""Manhattan""",13
41,239,8,"""Manhattan""",12
41,239,10,"""Manhattan""",17
41,239,11,"""Manhattan""",19
41,239,12,"""Manhattan""",12
41,239,15,"""Manhattan""",17
41,239,16,"""Manhattan""",14
42,41,7,"""Manhattan""",20
42,41,8,"""Manhattan""",15
42,41,9,"""Manhattan""",14
42,41,10,"""Manhattan""",21
42,41,11,"""Manhattan""",13
42,41,15,"""Manhattan""",11
42,41,16,"""Manhattan""",14
42,41,17,"""Manhattan""",12
42,42,8,"""Manhattan""",16
42,42,9,"""Manhattan""",12
42,42,10,"""Manhattan""",13
42,42,11,"""Manhattan""",13
42,42,12,"""Manhattan""",12
42,42,13,"""Manhattan""",14
42,42,14,"""Manhattan""",14
42,42,16,"""Manhattan""",16
42,42,17,"""Manhattan""",14
42,42,18,"""Manhattan""",11
42,42,21,"""Manhattan""",11
42,74,8,"""Manhattan""",21
42,74,15,"""Manhattan""",12
42,74,16,"""Manhattan""",16
42,75,8,"""Manhattan""",15
43,24,12,"""Manhattan""",12
43,24,14,"""Manhattan""",13
43,24,15,"""Manhattan""",14
43,24,16,"""Manhattan""",13
43,41,8,"""Manhattan""",12
43,41,10,"""Manhattan""",22
43,41,11,"""Manhattan""",19
43,41,13,"""Manhattan""",14
43,41,14,"""Manhattan""",14
43,41,15,"""Manhattan""",22
43,41,16,"""Manhattan""",31
43,41,17,"""Manhattan""",16
43,41,18,"""Manhattan""",16
43,42,16,"""Manhattan""",12
43,43,7,"""Manhattan""",36
43,43,8,"""Manhattan""",46
43,43,9,"""Manhattan""",60
43,43,10,"""Manhattan""",94
43,43,11,"""Manhattan""",60
43,43,12,"""Manhattan""",59
43,43,13,"""Manhattan""",91
43,43,14,"""Manhattan""",118
43,43,15,"""Manhattan""",76
43,43,16,"""Manhattan""",99
43,43,17,"""Manhattan""",58
43,43,18,"""Manhattan""",35
43,43,19,"""Manhattan""",35
43,43,20,"""Manhattan""",22
43,43,21,"""Manhattan""",20
43,43,22,"""Manhattan""",24
43,48,8,"""Manhattan""",18
43,48,9,"""Manhattan""",16
43,48,10,"""Manhattan""",17
43,48,11,"""Manhattan""",22
43,48,12,"""Manhattan""",20
43,48,13,"""Manhattan""",38
43,48,14,"""Manhattan""",49
43,48,15,"""Manhattan""",58
43,48,16,"""Manhattan""",91
